country,year,pop,gdppc,growth,mm,loess_trend,regimes
Spain,1933-01-01,24122,3685.7560310722743,-0.042917802335741606,0.008374339683413468,-0.03450990629879062,Second Republic
Spain,1934-01-01,24349,3777.838473678262,0.02498332549135074,0.008394269696320567,-0.017677968113515338,Second Republic
Spain,1935-01-01,24579,3802.316367903047,0.006479338488220909,0.0031694260875971937,-0.010895225537682116,Civil War
Spain,1936-01-01,24810,2872.119370012172,-0.2446395585972434,-0.01928924131038089,-0.1102021125107353,Civil War
Spain,1937-01-01,25043,2650.1169888764616,-0.07729566655677322,-0.03548362532651478,-0.11609750910027722,Civil War
Spain,1938-01-01,25279,2632.551155701665,-0.006628323673455672,-0.03482272952727641,-0.08532568831421622,Civil War
Spain,1939-01-01,25517,2881.3777699837074,0.09451919433479028,-0.03220566971064578,-0.0164088064812451,Francoism
Spain,1940-01-01,25757,3166.9656266557636,0.09911503435860514,-0.016290675862934166,0.04086983847942748,Francoism
Spain,1941-01-01,25979,3187.304180068861,0.0064220947780144755,-0.012169253056351048,0.050616037807199026,Francoism
Spain,1942-01-01,26182,3389.080844281934,0.06330637203528955,-0.007665599167694282,0.07178824798785025,Francoism
Spain,1943-01-01,26387,3546.6006377984722,0.04647861787726493,0.001274042853606372,0.0816445036495264,Francoism
Spain,1944-01-01,26594,3670.8442869089454,0.03503175626438626,0.0022788859309099243,0.08024412347190124,Francoism
Spain,1945-01-01,26802,3352.929199664521,-0.08660544070969745,-0.007029591988881911,0.01972164634191343,Francoism
Spain,1946-01-01,27012,3468.203208391766,0.034380090321853185,0.020872372903027746,0.026159364343299785,Francoism
Spain,1947-01-01,27223,3509.0785095363885,0.011785728427250008,0.029780512401430072,0.016772718603788005,Francoism
Spain,1948-01-01,27437,3473.9224482392974,-0.010018602092130457,0.02944148455956259,-0.0010450302234899685,Francoism
Spain,1949-01-01,27651,3430.704215209045,-0.012440759307150606,0.018745489195368503,-0.020504154799254038,Francoism
Spain,1950-01-01,28062.963,3459.4402519107953,0.008376133557173926,0.009671599115225383,-0.017564000820231657,Francoism
Spain,1951-01-01,28298.01,3785.959339163142,0.09438494770129258,0.018467884407553193,0.019649433847009744,Francoism
Spain,1952-01-01,28549.87,4099.399226578744,0.0827900828657302,0.02041625549059726,0.04594668425221625,Francoism
Spain,1953-01-01,28804.128,4061.817352781037,-0.009167654019653027,0.014851628300905462,0.03253857821417004,Francoism
Spain,1954-01-01,29060.413,4322.0123122369005,0.06405875421200657,0.017754328095667495,0.04819164353847025,Francoism
Spain,1955-01-01,29318.745,4436.737873348313,0.026544478086420575,0.029069319975279295,0.04769725113816077,Francoism
Spain,1956-01-01,29579.142,4763.962602957628,0.07375345106028686,0.03300665604912266,0.06631668263939883,Francoism
Spain,1957-01-01,29841.614,4893.488966334898,0.027188786766893402,0.034546961883087,0.05847221264386061,Francoism
Spain,1958-01-01,30106.188,5168.911087050902,0.05628338443404912,0.04117716053570496,0.06150714211793505,Francoism
Spain,1959-01-01,30372.877,5079.299937825947,-0.01733656232730474,0.04068758023368955,0.029897123928166958,Francoism
Spain,1960-01-01,30641.187,5031.566581572437,-0.009397625034512358,0.03891020437452092,0.0073285451532620095,Francoism
Spain,1961-01-01,30903.894,5581.437566911612,0.10928425102293526,0.04040013470668519,0.03868706665630652,Francoism
Spain,1962-01-01,31158.061,6075.909555034676,0.08859222775408937,0.040980349195521105,0.05853677861594046,Francoism
Spain,1963-01-01,31429.834,6631.572696635345,0.09145349129501623,0.05104246372698803,0.0745986066227594,Francoism
Spain,1964-01-01,31740.862,6938.491843635209,0.04628150229817818,0.04926473853560519,0.06843985703419088,Francoism
Spain,1965-01-01,32084.511,7411.984782945171,0.06824147811664649,0.05343443853862778,0.07466876201874216,Francoism
Spain,1966-01-01,32451.975,7872.849372810183,0.06217829682077225,0.05227692311467632,0.0731796057936961,Francoism
Spain,1967-01-01,32850.275,8207.074373638408,0.04245286363314804,0.053803330801301785,0.06412430828024225,Francoism
Spain,1968-01-01,33239.301,8598.88130808511,0.04774014668432991,0.05294900702632986,0.058329000558063455,Francoism
Spain,1969-01-01,33566.084,9299.070162620286,0.0814279008452905,0.06282545334358938,0.06631875610583671,Francoism
