year,Spain,Western_Europe,Share
1984-01-01,16928,25944.38376207063,0.6524726181682479
1985-01-01,17381,26567.866755802726,0.6542113508681984
1986-01-01,18028,27237.375749986324,0.6618846163991791
1987-01-01,19248,27864.25798947576,0.6907774112366426
1988-01-01,20436,28832.530365376184,0.7087827443872482
1989-01-01,21722,29613.486436574178,0.7335171441742913
1990-01-01,22735,29682.39529268862,0.7659422285774927
1991-01-01,23425,30091.13101060647,0.7784685790555096
1992-01-01,23671,30322.284005226218,0.780646998620558
1993-01-01,23166,30147.925386784995,0.7684110831106991
1994-01-01,23690,30871.954232238597,0.7673631485000483
1995-01-01,24465,31504.48973989753,0.7765559830355651
1996-01-01,25017,31958.255849120622,0.7828024194470669
1997-01-01,25856,32711.493145408385,0.790425551198947
1998-01-01,26949,33540.71108270462,0.8034713376692941
1999-01-01,28127,34375.36018807321,0.8182314264087006
2000-01-01,29481,35509.09192374711,0.8302380715144181
2001-01-01,30501,36074.582694559314,0.8454983459753255
2002-01-01,30902,36279.58303648377,0.851773846709431
2003-01-01,31315,36438.655176163236,0.8593895644229227
2004-01-01,31823,37111.829453212034,0.8574893900102711
2005-01-01,32406,37582.03611565863,0.8622736644781728
2006-01-01,33211,38556.75440530502,0.8613536204549027
2007-01-01,33801,39454.47376362065,0.856708929955784
2008-01-01,33643,39382.13316817393,0.8542706373048394
2009-01-01,32181,37507.93028930038,0.8579785595149207
2010-01-01,32042,38262.248427646715,0.8374311839146332
2011-01-01,31600,38777.52506196869,0.8149050242247643
2012-01-01,30699,38539.4075761844,0.7965612844285282
2013-01-01,30280,38461.390572723525,0.7872830271892016
2014-01-01,30819,38759.00916126002,0.7951441656254687
2015-01-01,31847,39157.91916942538,0.8132965355540708
2016-01-01,30110,39546.055614230805,0.7613907261376732
