year,Spain,Western_Europe,Share,Share_hp
1898-01-01,3109,5332.12352784363,0.5830697626874587,0.5621392253650085
1899-01-01,3119,5474.3043146058935,0.5697527614017094,0.5630660082421117
1900-01-01,3166,5506.409427354384,0.5749663263817889,0.5682497924684058
1901-01-01,3413,5425.426354254042,0.629074984553774,0.604343622956407
1902-01-01,3241,5483.9538611243715,0.5909969489304747,0.6024432133846978
1903-01-01,3209,5544.546858655412,0.5787668644175195,0.5914699689643215
1904-01-01,3148,5622.009784039082,0.5599421062797134,0.5725839809379337
1905-01-01,3102,5712.254549028543,0.5430430267725977,0.5516735745835118
1906-01-01,3283,5842.625423286161,0.5619049249529828,0.5523123940998321
1907-01-01,3346,5972.130281597445,0.5602690902960343,0.5540294784470845
1908-01-01,3451,5910.878405460038,0.5838387737450694,0.5703754426634167
1909-01-01,3523,5998.319007331719,0.5873312165781533,0.5824679111051524
1910-01-01,3340,6038.931325049197,0.5530779901645578,0.5681306444951114
1911-01-01,3582,6233.496882429083,0.5746373291846676,0.5713981951723434
1912-01-01,3449,6417.282124572303,0.5374549432373394,0.5513428575369372
1913-01-01,3629,6544.624134127694,0.5545009041964936,0.5499072353891847
1914-01-01,3504,6046.208430816373,0.5795367526764011,0.5654396084582461
1915-01-01,3517,5988.712503361118,0.5872714707921128,0.579897405336847
1916-01-01,3640,6174.067791699263,0.5895626874868146,0.5889653665782523
1917-01-01,3566,5958.19679413462,0.598503225591751,0.5981089578368709
1918-01-01,3525,5728.804632923775,0.6153116096404508,0.6119279621639271
1919-01-01,3579,5478.056254430239,0.6533339260810939,0.6410537576322392
1920-01-01,3837,5687.849532829356,0.6745959044544781,0.6686040558190202
1921-01-01,3930,5704.83813331854,0.6888889584872226,0.6897624576428479
1922-01-01,4055,6256.8802755733695,0.6480865577419742,0.6737132332546037
1923-01-01,4062,6123.863422074321,0.6633067591543524,0.6698214482829592
1924-01-01,4163,6602.377993263073,0.6305303943893907,0.6470333790047895
1925-01-01,4407,6917.238784400441,0.6371039279341549,0.6375809202094325
1926-01-01,4319,6962.433867459426,0.6203290519118412,0.623636411843004
1927-01-01,4684,7264.351328370595,0.6447926027072576,0.631778622948465
1928-01-01,4622,7529.605285187172,0.6138435980293362,0.6198913534302758
1929-01-01,4938,7706.326144942531,0.6407722573798263,0.6296383368783668
1930-01-01,4642,7539.475151539481,0.6156927248512986,0.621424087337201
1931-01-01,4480,7116.545620969254,0.6295189040592192,0.6249107661632715
1932-01-01,4562,6843.644776095719,0.6666038564617915,0.6496232638124775
1933-01-01,4366,7063.955907252097,0.618067278069745,0.634924020398522
1934-01-01,4475,7311.0594786199645,0.6120863895426414,0.6211481299988482
1935-01-01,4504,7537.57432355938,0.5975397132632357,0.6046108791343318
1936-01-01,3402,7810.787868315186,0.43555145234456655,0.4994548981754559
1937-01-01,3139,8226.553613427204,0.3815692630844333,0.40861719963449133
1938-01-01,3119,8412.631141377326,0.37075202128609597,0.3586765941760674
1939-01-01,3413,8853.143147119197,0.38551279961067686,0.3504242987569626
1940-01-01,3752,8637.103982200082,0.43440486622974217,0.3851936083852131
1941-01-01,3776,8735.118096678803,0.4322780709096172,0.41043617518618036
1942-01-01,4015,8571.73504710215,0.4683999187955947,0.4477196564236746
1943-01-01,4201,8517.157176484836,0.49323969406113727,0.482827035143387
1944-01-01,4349,8196.983468198034,0.5305610310027932,0.5219003069085073
1945-01-01,3972,7081.346514589868,0.5609102720529765,0.5579654298280473
1946-01-01,4109,6623.770888820304,0.6203415047062134,0.6087261627951314
1947-01-01,4157,7039.565545778692,0.5905193968245334,0.6143349409861122
1948-01-01,4115,7493.4440878290425,0.5491466876604365,0.5858513700302533
1949-01-01,4064,8069.604960256013,0.5036182093195138,0.5378720262834953
1950-01-01,4098,8605.200095211938,0.4762236734367384,0.4934813398912218
1951-01-01,4485,9059.387585705192,0.4950665768044721,0.48245356144401924
1952-01-01,4856,9343.298631058758,0.5197307922769168,0.49593425755750076
1953-01-01,4812,9806.63416177655,0.4906882341706798,0.49007507998331945
1954-01-01,5120,10287.288496043348,0.4977016054297721,0.49205552928830876
1955-01-01,5256,10895.401706912535,0.48240534322523937,0.48515696152611854
1956-01-01,5644,11324.567119953437,0.4983854959061081,0.49121643388476893
1957-01-01,5797,11762.061291475171,0.49285578916354666,0.49217867296516693
1958-01-01,6123,11959.252996713787,0.5119884997568412,0.5041592316262761
1959-01-01,6017,12489.773319025455,0.481754139671567,0.4929290251945585
1960-01-01,5960,13225.92428231508,0.4506301316097324,0.46698585900956463
1961-01-01,6611,13777.90550347234,0.479826196974125,0.4698029467317026
1962-01-01,7197,14276.44362377768,0.504117144973925,0.48798370493636406
1963-01-01,7854,14772.317524715538,0.531670131437365,0.5158561013168621
1964-01-01,8218,15506.683968371404,0.5299650148775876,0.5300890431753154
1965-01-01,8778,16011.09484911039,0.5482448316448343,0.5467061583519088
1966-01-01,9324,16456.43531134101,0.5665868594017036,0.5647436642032544
1967-01-01,9719,16898.514487831388,0.5751393122157955,0.5775874142899504
1968-01-01,10183,17696.699872249093,0.5754180199421459,0.5823091035322628
1969-01-01,11012,18572.13513997474,0.5929312874908887,0.5929163588139511
1970-01-01,11253,19266.093879691125,0.5840831084012349,0.591914018497899
1971-01-01,11705,19753.77496709353,0.5925449702397928,0.5945723862215899
1972-01-01,12773,20456.103507373206,0.6244102155327917,0.6141501272631675
1973-01-01,13770,21454.347696949255,0.6418279499571107,0.6350440974085672
1974-01-01,14658,21760.520534136445,0.6736052098112962,0.6641573315372113
1975-01-01,14933,21539.475977709102,0.6932852041272476,0.6900389745293516
1976-01-01,15443,22437.973192408128,0.6882528946609637,0.6982917747959401
1977-01-01,15784,23016.621069848406,0.6857652976994488,0.6975839810566612
1978-01-01,16058,23643.05229619389,0.67918472618635,0.6903691976318971
1979-01-01,16186,24500.7869717551,0.6606318408734985,0.6735461098705133
1980-01-01,16574,24816.74937234898,0.667855396825939,0.6677973808574713
1981-01-01,16440,24804.844068626702,0.6627737692894187,0.6624615930948831
1982-01-01,16618,24924.719576460808,0.6667276616301124,0.6627503027781116
1983-01-01,16846,25337.605464217224,0.6648615641202004,0.662762823874834
1984-01-01,16928,25944.38376207063,0.6524726181682479,0.6559056125924855
1985-01-01,17381,26567.866755802726,0.6542113508681984,0.6533076927298712
1986-01-01,18028,27237.375749986324,0.6618846163991791,0.6570703618484554
1987-01-01,19248,27864.25798947576,0.6907774112366426,0.6770563657385679
1988-01-01,20436,28832.530365376184,0.7087827443872482,0.6993445706772987
1989-01-01,21722,29613.486436574178,0.7335171441742913,0.7254898219690911
1990-01-01,22735,29682.39529268862,0.7659422285774927,0.7574222138754915
1991-01-01,23425,30091.13101060647,0.7784685790555096,0.7799343906034487
1992-01-01,23671,30322.284005226218,0.780646998620558,0.7899366418709847
1993-01-01,23166,30147.925386784995,0.7684110831106991,0.7843052929877731
1994-01-01,23690,30871.954232238597,0.7673631485000483,0.7773734964922415
1995-01-01,24465,31504.48973989753,0.7765559830355651,0.7775246920256025
1996-01-01,25017,31958.255849120622,0.7828024194470669,0.7810682669927198
1997-01-01,25856,32711.493145408385,0.790425551198947,0.7874874153957707
1998-01-01,26949,33540.71108270462,0.8034713376692941,0.7986083032235007
1999-01-01,28127,34375.36018807321,0.8182314264087006,0.8131364967941479
2000-01-01,29481,35509.09192374711,0.8302380715144181,0.8274533967020051
2001-01-01,30501,36074.582694559314,0.8454983459753255,0.8430405961311422
2002-01-01,30902,36279.58303648377,0.851773846709431,0.8536935872299284
2003-01-01,31315,36438.655176163236,0.8593895644229227,0.8620460365740586
2004-01-01,31823,37111.829453212034,0.8574893900102711,0.863603843481537
2005-01-01,32406,37582.03611565863,0.8622736644781728,0.8655348144429681
2006-01-01,33211,38556.75440530502,0.8613536204549027,0.8649357698124434
2007-01-01,33801,39454.47376362065,0.856708929955784,0.8610120885894831
2008-01-01,33643,39382.13316817393,0.8542706373048394,0.8568822669008687
2009-01-01,32181,37507.93028930038,0.8579785595149207,0.85676773843374
2010-01-01,32042,38262.248427646715,0.8374311839146332,0.8447638757895362
2011-01-01,31600,38777.52506196869,0.8149050242247643,0.8246168541229945
2012-01-01,30699,38539.4075761844,0.7965612844285282,0.8030798984714037
2013-01-01,30280,38461.390572723525,0.7872830271892016,0.7872050108114371
2014-01-01,30819,38759.00916126002,0.7951441656254687,0.7855185040464874
2015-01-01,31847,39157.91916942538,0.8132965355540708,0.7981187402068806
2016-01-01,30110,39546.055614230805,0.7613907261376732,0.7760683202780361
